"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2010-06-12 14:12:00,237404","67.212.184.66","192.168.1.101","TCP","60","80  >  2301 [ACK] Seq=1 Ack=1 Win=5840 Len=0"
"2","2010-06-12 14:12:00,237612","192.168.1.101","67.212.184.66","TCP","60","[TCP ZeroWindow] [TCP ACKed unseen segment] 2301  >  80 [ACK] Seq=1 Ack=2 Win=0 Len=0"
"3","2010-06-12 14:12:01,796591","192.168.2.113","69.48.248.51","HTTP","113","GET /r/publishers HTTP/1.1 "
"4","2010-06-12 14:12:01,905063","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=1 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"5","2010-06-12 14:12:01,905081","69.48.248.51","192.168.2.113","TCP","203","80  >  2401 [PSH, ACK] Seq=1381 Ack=60 Win=4356 Len=149 [TCP segment of a reassembled PDU]"
"6","2010-06-12 14:12:01,906393","192.168.2.113","69.48.248.51","TCP","60","2401  >  80 [ACK] Seq=60 Ack=1530 Win=64860 Len=0"
"7","2010-06-12 14:12:01,909793","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=1530 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"8","2010-06-12 14:12:01,913292","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=2910 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"9","2010-06-12 14:12:01,914441","192.168.2.113","69.48.248.51","TCP","60","2401  >  80 [ACK] Seq=60 Ack=4290 Win=64860 Len=0"
"10","2010-06-12 14:12:01,917039","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=4290 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"11","2010-06-12 14:12:01,920788","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=5670 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"12","2010-06-12 14:12:01,921945","192.168.2.113","69.48.248.51","TCP","60","2401  >  80 [ACK] Seq=60 Ack=7050 Win=64860 Len=0"
"13","2010-06-12 14:12:01,925035","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=7050 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"14","2010-06-12 14:12:01,928782","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=8430 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"15","2010-06-12 14:12:01,929940","192.168.2.113","69.48.248.51","TCP","60","2401  >  80 [ACK] Seq=60 Ack=9810 Win=64860 Len=0"
"16","2010-06-12 14:12:01,932279","69.48.248.51","192.168.2.113","TCP","1434","80  >  2401 [ACK] Seq=9810 Ack=60 Win=4356 Len=1380 [TCP segment of a reassembled PDU]"
"17","2010-06-12 14:12:01,933130","69.48.248.51","192.168.2.113","HTTP","707","HTTP/1.1 200 OK  (text/html)"
"18","2010-06-12 14:12:01,934025","192.168.2.113","69.48.248.51","TCP","60","2401  >  80 [ACK] Seq=60 Ack=11843 Win=64860 Len=0"
"19","2010-06-12 14:12:01,935380","192.168.2.113","184.51.60.79","TLSv1","153","Application Data"
"20","2010-06-12 14:12:01,970522","184.51.60.79","192.168.2.113","TCP","60","443  >  2402 [ACK] Seq=1 Ack=100 Win=6432 Len=0"
"21","2010-06-12 14:12:02,058200","184.51.60.79","192.168.2.113","TLSv1","602","Application Data"
"22","2010-06-12 14:12:02,059548","192.168.2.113","98.136.154.148","TCP","62","2404  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"23","2010-06-12 14:12:02,092713","98.136.154.148","192.168.2.113","TCP","62","80  >  2404 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"24","2010-06-12 14:12:02,092968","192.168.2.113","98.136.154.148","TCP","60","2404  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"25","2010-06-12 14:12:02,093143","192.168.2.113","98.136.154.148","HTTP","118","GET /pixel?id=324307&t=2 HTTP/1.1 "
"26","2010-06-12 14:12:02,094199","69.48.248.51","192.168.2.113","TCP","60","[TCP Dup ACK 4#1] 80  >  2401 [ACK] Seq=11843 Ack=60 Win=4356 Len=0"
"27","2010-06-12 14:12:02,128438","98.136.154.148","192.168.2.113","TCP","60","80  >  2404 [ACK] Seq=1 Ack=65 Win=5840 Len=0"
"28","2010-06-12 14:12:02,130432","98.136.154.148","192.168.2.113","HTTP","336","HTTP/1.1 406 Not Acceptable  (text/plain)"
"29","2010-06-12 14:12:02,130438","98.136.154.148","192.168.2.113","TCP","60","80  >  2404 [FIN, ACK] Seq=283 Ack=65 Win=5840 Len=0"
"30","2010-06-12 14:12:02,130871","192.168.2.113","98.136.154.148","TCP","60","2404  >  80 [ACK] Seq=65 Ack=284 Win=63958 Len=0"
"31","2010-06-12 14:12:02,131066","192.168.2.113","98.136.154.148","TCP","60","2404  >  80 [FIN, ACK] Seq=65 Ack=284 Win=63958 Len=0"
"32","2010-06-12 14:12:02,147116","192.168.1.101","67.212.184.66","TCP","60","2298  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"33","2010-06-12 14:12:02,147172","192.168.1.101","67.212.184.66","TCP","60","[TCP Window Update] [TCP ACKed unseen segment] 2301  >  80 [ACK] Seq=1 Ack=2 Win=17520 Len=0"
"34","2010-06-12 14:12:02,164886","192.168.1.101","97.74.144.108","TCP","62","2303  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"35","2010-06-12 14:12:02,165410","98.136.154.148","192.168.2.113","TCP","60","80  >  2404 [ACK] Seq=284 Ack=66 Win=5840 Len=0"
"36","2010-06-12 14:12:02,196214","192.168.1.101","212.159.9.56","HTTP","128","GET /images/internetWatchButton.gif HTTP/1.1 "
"37","2010-06-12 14:12:02,196220","192.168.1.101","212.159.9.56","TCP","60","2296  >  80 [FIN, ACK] Seq=75 Ack=1 Win=17520 Len=0"
"38","2010-06-12 14:12:02,204433","67.212.184.66","192.168.1.101","HTTP","1514","[TCP Previous segment not captured] Continuation"
"39","2010-06-12 14:12:02,207773","67.212.184.66","192.168.1.101","HTTP","1338","Continuation"
"40","2010-06-12 14:12:02,208950","192.168.1.101","67.212.184.66","TCP","60","[TCP ACKed unseen segment] 2301  >  80 [ACK] Seq=1 Ack=2747 Win=17520 Len=0"
"41","2010-06-12 14:12:02,233285","192.168.2.113","184.51.60.79","TCP","60","2402  >  443 [ACK] Seq=100 Ack=549 Win=63022 Len=0"
"42","2010-06-12 14:12:02,270372","97.74.144.108","192.168.1.101","TCP","60","80  >  2303 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"43","2010-06-12 14:12:02,270579","192.168.1.101","97.74.144.108","TCP","60","2303  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"44","2010-06-12 14:12:02,270769","192.168.1.101","97.74.144.108","HTTP","182","GET /Web-Shop/View-all-products-in-shop.html?keyword=insole HTTP/1.1 "
"45","2010-06-12 14:12:02,327066","212.159.9.56","192.168.1.101","TCP","60","80  >  2296 [RST] Seq=1 Win=0 Len=0"
"46","2010-06-12 14:12:02,327807","212.159.9.56","192.168.1.101","TCP","60","80  >  2296 [RST] Seq=1 Win=0 Len=0"
"47","2010-06-12 14:12:02,379034","97.74.144.108","192.168.1.101","TCP","60","80  >  2303 [ACK] Seq=1 Ack=129 Win=6432 Len=0"
"48","2010-06-12 14:12:02,553512","192.168.1.101","69.163.132.48","HTTP","165","GET /main/wp-content/themes/mikes-lounge/images/navbar-hover.gif HTTP/1.1 "
"49","2010-06-12 14:12:02,553592","192.168.1.101","174.120.43.124","HTTP","128","GET /images/hpimages/tab_lifestyle.gif HTTP/1.1 "
"50","2010-06-12 14:12:02,553639","192.168.1.101","174.120.43.124","TCP","60","2300  >  80 [FIN, ACK] Seq=75 Ack=1 Win=17520 Len=0"
"51","2010-06-12 14:12:02,553889","192.168.1.101","174.120.43.124","TCP","62","2304  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"52","2010-06-12 14:12:02,615783","192.168.1.101","72.14.204.101","TCP","62","2305  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"53","2010-06-12 14:12:02,616600","192.168.1.101","192.168.5.122","HTTP","132","GET /joomla/images/M_images/pdf_button.png HTTP/1.1 "
"54","2010-06-12 14:12:02,616606","192.168.1.101","192.168.5.122","TCP","60","2297  >  80 [FIN, ACK] Seq=79 Ack=1 Win=16868 Len=0"
"55","2010-06-12 14:12:02,616833","192.168.1.101","192.168.5.122","TCP","62","2306  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"56","2010-06-12 14:12:02,616849","192.168.5.122","192.168.1.101","TCP","60","80  >  2297 [RST] Seq=1 Win=0 Len=0"
"57","2010-06-12 14:12:02,616971","192.168.5.122","192.168.1.101","TCP","60","80  >  2297 [RST] Seq=1 Win=0 Len=0"
"58","2010-06-12 14:12:02,616977","192.168.1.101","62.140.213.243","TCP","62","2307  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"59","2010-06-12 14:12:02,617016","192.168.5.122","192.168.1.101","TCP","60","80  >  2297 [RST] Seq=1 Win=0 Len=0"
"60","2010-06-12 14:12:02,617110","192.168.5.122","192.168.1.101","TCP","60","80  >  2297 [RST] Seq=1 Win=0 Len=0"
"61","2010-06-12 14:12:02,617116","192.168.5.122","192.168.1.101","TCP","62","80  >  2306 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"62","2010-06-12 14:12:02,617322","192.168.5.122","192.168.1.101","TCP","62","[TCP Out-Of-Order] 80  >  2306 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"63","2010-06-12 14:12:02,617525","192.168.1.101","192.168.5.122","TCP","60","2306  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"64","2010-06-12 14:12:02,617652","192.168.1.101","192.168.5.122","HTTP","132","GET /joomla/images/M_images/pdf_button.png HTTP/1.1 "
"65","2010-06-12 14:12:02,618124","192.168.5.122","192.168.1.101","TCP","60","80  >  2306 [ACK] Seq=1 Ack=79 Win=5840 Len=0"
"66","2010-06-12 14:12:02,618273","192.168.5.122","192.168.1.101","TCP","60","[TCP Dup ACK 65#1] 80  >  2306 [ACK] Seq=1 Ack=79 Win=5840 Len=0"
"67","2010-06-12 14:12:02,618898","192.168.1.101","62.140.213.243","TCP","62","2308  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"68","2010-06-12 14:12:02,618982","192.168.5.122","192.168.1.101","HTTP","909","HTTP/1.1 200 OK  (PNG)"
"69","2010-06-12 14:12:02,620189","192.168.1.101","67.212.184.66","HTTP","130","GET /themes/modern_silver/img/pixel.gif HTTP/1.1 "
"70","2010-06-12 14:12:02,620195","192.168.1.101","67.212.184.66","TCP","60","2298  >  80 [FIN, ACK] Seq=77 Ack=1 Win=17520 Len=0"
"71","2010-06-12 14:12:02,620375","192.168.1.101","67.212.184.66","HTTP","130","GET /themes/modern_silver/img/pixel.gif HTTP/1.1 "
