"No.","Time","Source","Source Port","Destination","Protocol","Destination Port","Length","Info"
"1","2010-06-12 19:30:00,865985","192.168.2.113","2950","216.8.179.23","TCP","80","60","2950  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64860 Len=0"
"2","2010-06-12 19:30:04,632293","192.168.2.113","137","192.168.2.255","NBNS","137","92","Name query NB WORKGROUP<1b>"
"3","2010-06-12 19:30:05,381433","192.168.2.113","137","192.168.2.255","NBNS","137","92","Name query NB WORKGROUP<1b>"
"4","2010-06-12 19:30:06,131413","192.168.2.113","137","192.168.2.255","NBNS","137","92","Name query NB WORKGROUP<1b>"
"5","2010-06-12 19:30:10,254751","192.168.5.122","143","192.168.3.116","IMAP","2756","71","Response: * OK Still here"
"6","2010-06-12 19:30:10,254949","192.168.5.122","143","192.168.3.116","TCP","2756","71","[TCP Retransmission] 143  >  2756 [PSH, ACK] Seq=1 Ack=1 Win=8576 Len=17"
"7","2010-06-12 19:30:10,364584","192.168.3.116","2756","192.168.5.122","TCP","143","60","2756  >  143 [ACK] Seq=1 Ack=18 Win=17027 Len=0"
"8","2010-06-12 19:30:10,928003","192.168.2.113","2950","216.8.179.23","TCP","80","60","[TCP Retransmission] 2950  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64860 Len=0"
"9","2010-06-12 19:30:13,394642","Ibm_bf:75:a9","","Alcatel-_87:f5:94","ARP","","60","192.168.2.108 is at 00:02:55:bf:75:a9"
"10","2010-06-12 19:30:15,251362","3Com_72:ab:55","","Alcatel-_87:f5:94","ARP","","60","Who has 192.168.5.1? Tell 192.168.5.124"
"11","2010-06-12 19:30:20,405909","192.168.2.110","3284","12.129.19.135","TCP","80","60","3284  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64860 Len=0"
"12","2010-06-12 19:30:20,509923","12.129.19.135","80","192.168.2.110","TCP","3284","60","80  >  3284 [ACK] Seq=1 Ack=2 Win=63126 Len=0"
"13","2010-06-12 19:30:20,510412","12.129.19.135","80","192.168.2.110","TCP","3284","60","80  >  3284 [FIN, ACK] Seq=1 Ack=2 Win=63126 Len=0"
