"No.","Time","Delta time","Source","Source Port","Destination","Protocol","Destination Port","Length","Info"
"1","2010-06-12 19:46:00,031663","0.000000","62.48.76.70","80","192.168.2.110","TCP","3338","402","80  >  3338 [PSH, ACK] Seq=1 Ack=1 Win=49680 Len=348 [TCP segment of a reassembled PDU]"
"2","2010-06-12 19:46:00,042818","0.011155","62.48.76.70","80","192.168.2.110","TCP","3338","1434","80  >  3338 [ACK] Seq=349 Ack=1 Win=49680 Len=1380 [TCP segment of a reassembled PDU]"
"3","2010-06-12 19:46:00,044008","0.001190","192.168.2.110","3338","62.48.76.70","TCP","80","60","3338  >  80 [ACK] Seq=1 Ack=1729 Win=64860 Len=0"
"4","2010-06-12 19:46:00,046592","0.002584","62.48.76.70","80","192.168.2.110","TCP","3338","1434","80  >  3338 [ACK] Seq=1729 Ack=1 Win=49680 Len=1380 [TCP segment of a reassembled PDU]"
"5","2010-06-12 19:46:00,050334","0.003742","62.48.76.70","80","192.168.2.110","TCP","3338","1434","80  >  3338 [ACK] Seq=3109 Ack=1 Win=49680 Len=1380 [TCP segment of a reassembled PDU]"
"6","2010-06-12 19:46:00,051484","0.001150","192.168.2.110","3338","62.48.76.70","TCP","80","60","3338  >  80 [ACK] Seq=1 Ack=4489 Win=64860 Len=0"
"7","2010-06-12 19:46:00,055086","0.003602","62.48.76.70","80","192.168.2.110","TCP","3338","1434","80  >  3338 [ACK] Seq=4489 Ack=1 Win=49680 Len=1380 [TCP segment of a reassembled PDU]"
"8","2010-06-12 19:46:00,058087","0.003001","62.48.76.70","80","192.168.2.110","TCP","3338","1434","80  >  3338 [ACK] Seq=5869 Ack=1 Win=49680 Len=1380 [TCP segment of a reassembled PDU]"
"9","2010-06-12 19:46:00,059232","0.001145","192.168.2.110","3338","62.48.76.70","TCP","80","60","3338  >  80 [ACK] Seq=1 Ack=7249 Win=64860 Len=0"
"10","2010-06-12 19:46:00,061500","0.002268","62.48.76.70","80","192.168.2.110","TCP","3338","1346","80  >  3338 [PSH, ACK] Seq=7249 Ack=1 Win=49680 Len=1292 [TCP segment of a reassembled PDU]"
"11","2010-06-12 19:46:00,065321","0.003821","62.48.76.70","80","192.168.2.110","TCP","3338","1434","80  >  3338 [ACK] Seq=8541 Ack=1 Win=49680 Len=1380 [TCP segment of a reassembled PDU]"
