"No.","Time","Delta time","Source","Source Port","Destination","Protocol","Destination Port","Length","Info"
"1","2010-06-13 01:26:00,332989","0.000000","69.192.24.88","80","192.168.56.1","TCP","55216","2962","80  >  55216 [ACK] Seq=1 Ack=1 Win=122 Len=2896 TSval=1380009 TSecr=454212395 [TCP segment of a reassembled PDU]"
"2","2010-06-13 01:26:00,333062","0.000073","192.168.56.1","55216","69.192.24.88","TCP","80","60","55216  >  80 [RST] Seq=1 Win=0 Len=0"
"3","2010-06-13 01:26:00,333062","0.000000","69.192.24.88","80","192.168.56.1","HTTP","55216","1294","HTTP/1.1 500 Service unavailable (with message)  (text/html)"
"4","2010-06-13 01:26:00,333123","0.000061","192.168.56.1","55216","69.192.24.88","TCP","80","60","55216  >  80 [RST] Seq=1 Win=0 Len=0"
"5","2010-06-13 01:26:00,337329","0.004206","192.168.56.1","55357","69.192.24.88","HTTP","80","599","GET /drupal7/?uIhD=PU3cMTarBFX&MUSc2Ei=1xcwRr4dJ&wkaxCk=OFle7qVm8CDWiv&Kmkc5nWgbH=N43uC7wmhPrLkO4 HTTP/1.1 "
"6","2010-06-13 01:26:00,377030","0.039701","69.192.24.88","80","192.168.56.1","TCP","55357","66","80  >  55357 [ACK] Seq=1 Ack=535 Win=122 Len=0 TSval=1380021 TSecr=454214000"
"7","2010-06-13 01:26:00,440894","0.063864","80.66.211.179","52887","192.168.5.122","SSHv2","22","87","Client: Protocol (SSH-2.0-libssh-0.11)"
"8","2010-06-13 01:26:00,441101","0.000207","192.168.5.122","22","80.66.211.179","TCP","52887","66","22  >  52887 [ACK] Seq=1 Ack=22 Win=46 Len=0 TSval=26788664 TSecr=411599338"
"9","2010-06-13 01:26:00,442168","0.001067","192.168.5.122","22","80.66.211.179","SSHv2","52887","850","Server: Key Exchange Init"
"10","2010-06-13 01:26:00,561041","0.118873","98.137.80.31","80","192.168.1.104","TCP","21352","60","80  >  21352 [FIN, ACK] Seq=1 Ack=1 Win=5840 Len=0"
"11","2010-06-13 01:26:00,561262","0.000221","192.168.1.104","21352","98.137.80.31","TCP","80","60","21352  >  80 [ACK] Seq=1 Ack=2 Win=16253 Len=0"
"12","2010-06-13 01:26:00,624649","0.063387","80.66.211.179","52887","192.168.5.122","SSHv2","22","218","Client: Key Exchange Init"
"13","2010-06-13 01:26:00,655165","0.030516","192.168.5.122","22","80.66.211.179","TCP","52887","66","22  >  52887 [ACK] Seq=785 Ack=174 Win=54 Len=0 TSval=26788686 TSecr=411599356"
"14","2010-06-13 01:26:00,815578","0.160413","80.66.211.179","52887","192.168.5.122","SSHv2","22","210","Client: Diffie-Hellman Key Exchange Init"
"15","2010-06-13 01:26:00,816103","0.000525","192.168.5.122","22","80.66.211.179","TCP","52887","66","22  >  52887 [ACK] Seq=785 Ack=318 Win=62 Len=0 TSval=26788702 TSecr=411599375"
"16","2010-06-13 01:26:00,820635","0.004532","192.168.5.122","22","80.66.211.179","SSHv2","52887","786","Server: Diffie-Hellman Key Exchange Reply, New Keys"
"17","2010-06-13 01:26:01,010292","0.189657","80.66.211.179","52887","192.168.5.122","SSHv2","22","82","Client: New Keys"
"18","2010-06-13 01:26:01,045074","0.034782","192.168.5.122","22","80.66.211.179","TCP","52887","66","22  >  52887 [ACK] Seq=1505 Ack=334 Win=62 Len=0 TSval=26788725 TSecr=411599395"
"19","2010-06-13 01:26:01,116856","0.071782","69.192.24.88","80","192.168.56.1","TCP","55258","2962","80  >  55258 [ACK] Seq=1 Ack=1 Win=122 Len=2896 TSval=1380205 TSecr=454212395 [TCP segment of a reassembled PDU]"
"20","2010-06-13 01:26:01,117013","0.000157","192.168.56.1","55258","69.192.24.88","TCP","80","60","55258  >  80 [RST] Seq=1 Win=0 Len=0"
"21","2010-06-13 01:26:01,117046","0.000033","69.192.24.88","80","192.168.56.1","HTTP","55258","1294","HTTP/1.1 500 Service unavailable (with message)  (text/html)"
"22","2010-06-13 01:26:01,117102","0.000056","192.168.56.1","55258","69.192.24.88","TCP","80","60","55258  >  80 [RST] Seq=1 Win=0 Len=0"
